BSSID,SSID,BeaconCount,CaptureTimeSpan_ms,MeanInterBeaconTime_ms,StdInterBeaconTime_ms,MinInterBeaconTime_ms,MaxInterBeaconTime_ms,ExpectedBeaconInterval_TU,TimingJitter,MissedBeacons,MeanSeqGap,StdSeqGap,MaxSeqGap,SeqNumberResets,ChannelChanges,UniqueChannels,MeanRSSI,StdRSSI,RSSIRange,Encryption,HasHT,SuspicionScore,SuspicionReasons
6C:4F:89:09:FD:11,Airtel_nedo_2350,13,1157333,96444.41666666667,216522.7006614311,53.0,610844.0,100,2.245051690317508,9,37.75,518.1982991796937,1214.0,1,7,3,-92.15384615384616,1.7246329970051526,6,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
6C:5A:B0:B5:22:1F,Bright,31,1238883,41296.1,128951.32532226635,54.0,558556.0,100,3.122602989607826,25,43.36666666666667,606.8775075708461,2735.0,1,15,3,-87.51612903225806,4.65382257033173,19,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
2A:87:BA:2A:B6:16,,27,1384851,53263.5,135774.33758475864,81.0,568924.0,100,2.549106566076385,17,80.76923076923077,701.6927138109562,2947.0,2,9,2,-89.92592592592592,3.5833581792022744,14,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
30:68:93:B4:3D:7E,Arun Home,55,1280639,23715.537037037036,86566.70644723203,85.0,497345.0,100,3.6502106744784584,46,25.185185185185187,259.73644654374675,1172.0,2,29,3,-86.56363636363636,4.49181822611189,18,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
FC:7A:58:15:49:0A,stupidshan,20,841511,44290.05263157895,128803.0763066342,102.0,470868.0,100,2.9081716694978375,14,13.157894736842104,448.59933412021405,1123.0,1,13,3,-89.2,4.360106227580869,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
F0:ED:B8:BC:70:D7,JioFiber_4G,312,1424382,4580.006430868168,31149.361762528322,52.0,442175.0,100,6.801161139379145,285,7.112540192926045,155.17980269615285,899.0,2,114,3,-85.11858974358974,6.497244575380093,31,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
0C:EF:15:FD:BE:8F,ACT-ai_103784061836,141,1421174,10151.242857142857,50476.88805864007,53.0,451925.0,100,4.972483543544606,105,13.514285714285714,186.19535983655982,407.0,2,81,4,-85.7517730496454,6.3764701703873685,27,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
08:BD:43:66:CF:9E,Gokulam-2F,21,1459619,72980.95,182062.25052624606,54.0,688797.0,100,2.494654434119471,13,-108.55,1080.8127290438238,2708.0,2,7,3,-90.80952380952381,3.280534218980921,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
28:87:BA:B8:F0:2B,ACT103656444158,43,1333448,31748.761904761905,110945.1711500005,66.0,520443.0,100,3.4944723664914217,23,17.452380952380953,655.6788774697919,2790.0,1,20,3,-86.72093023255815,5.174689231043131,20,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
28:87:BA:2A:B6:16,TNPolice_Beta,22,1384669,65936.61904761905,148422.14645613916,85.0,565572.0,100,2.2509820581898285,15,99.80952380952381,762.8827969647513,2881.0,2,5,2,-90.0909090909091,4.23037869417194,14,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
28:87:BA:00:91:73,Pearldrops,26,1378452,55138.08,113692.45434025074,90.0,357079.0,100,2.0619588918981,16,75.36,532.0146363901404,2246.0,2,16,4,-87.76923076923077,4.072421317179177,15,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
30:68:93:B4:3B:E6,Arun Home,113,1430831,12775.276785714286,52726.21307567117,53.0,455100.0,100,4.127207101336862,95,25.598214285714285,261.89123180068435,1153.0,2,75,5,-87.31858407079646,4.486617972859608,18,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E4:C3:2A:02:C7:08,ESPP,29,1339845,47851.607142857145,130612.37807921044,53.0,513881.0,100,2.7295295994249074,25,-87.0,947.3476033017033,1362.0,2,13,3,-91.44827586206897,2.693725605080811,9,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E4:FA:C4:97:B6:4C,Pranav_105B,63,1427680,23027.09677419355,85612.46500914046,92.0,461807.0,100,3.717900951429031,57,53.32258064516129,354.27134984051594,1396.0,2,40,4,-87.06349206349206,4.599694996455729,18,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E6:C3:2A:02:D7:08,,20,1333174,70167.05263157895,156533.91203913247,74.0,523688.0,100,2.2308748360687582,16,-135.21052631578948,1143.9274248029785,1424.0,2,10,3,-90.75,2.653200649067184,9,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E6:D3:62:19:9C:0E,,33,1336506,41765.8125,122905.49440760007,75.0,553015.0,100,2.94272964053213,29,47.90625,637.9856080576659,2601.0,2,26,4,-87.12121212121212,4.628428295312404,20,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
50:2B:73:B5:11:21,Neptune07,33,1242059,38814.34375,122305.59323047605,53.0,555809.0,100,3.1510411206507905,25,-5.09375,694.8694636927002,2634.0,2,18,3,-86.84848484848484,5.274473979230134,17,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
